x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,non_pipo_ba,site,forest,elev,rep,crs
-66268.79335750431,98168.4138665805,13,2,11,2,0.5315179768103543,0.09457032441665218,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98168.4138665805,6,14,5,1,0.9385364998619696,0.0075413299668110586,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98168.4138665805,8,8,5,3,1.6193445463391125,0.07688067282731284,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98168.4138665805,6,9,4,2,0.7806119079934931,0.18077479236019917,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98168.4138665805,11,6,10,1,1.0941538869022125,0.2312471294828662,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98168.4138665805,16,9,12,4,2.8445042294837455,0.9064055398583061,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98168.4138665805,16,9,14,2,2.840283949698257,0.2855911561958387,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98168.4138665805,15,3,14,1,1.3365776959462243,0.008185395189193615,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98168.4138665805,14,2,11,3,0.6991632261672176,0.2541003222626936,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98168.4138665805,21,1,19,2,1.8717840913458865,0.0227757984591933,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98168.4138665805,26,1,23,3,2.7941716514272414,0.5660474163308968,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98168.4138665805,18,4,18,0,2.551234990060101,0,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98168.4138665805,32,0,13,19,2.040866201418906,2.179646025648629,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98168.4138665805,18,6,10,8,2.300225342911565,0.8262621822133155,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98168.4138665805,25,1,14,11,1.4965588088955022,0.7476606619502051,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98168.4138665805,27,0,12,15,2.50966947498384,3.4368546207640884,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98168.4138665805,28,2,13,15,2.256740611420588,2.9667219224635515,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98168.4138665805,16,6,11,5,2.0820653185017735,1.212913457752645,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98168.4138665805,16,1,11,5,1.0052048769752295,0.33188022515684845,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98168.4138665805,23,0,19,4,1.829806273724851,0.2507345619725394,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98168.4138665805,25,4,15,10,2.418223054765708,1.306875459714117,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98168.4138665805,33,0,20,13,4.0500993668310725,1.5142854201791678,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98168.4138665805,25,3,16,9,1.2655891814482434,1.6537229371369742,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98168.4138665805,25,2,14,11,3.109015578479798,1.750719288999082,eldo_3k_1,eldo,3k,1,3310
