Estimate,Est.Error,lwr0_025,upr0_975,beta
-0.45735883632669494,0.04109567628968983,-0.5373211656572594,-0.3772663892978922,Intercept
0.16470518813138485,0.06745683401436252,0.03122238202783286,0.29628684482452383,site_cwd_zscore
0.75802916527071,0.030450057049942608,0.6993142584579994,0.8190550992088066,prop_host_s
-0.4002117085893909,0.05030036882111,-0.499452323033703,-0.3014155377090743,pipo_and_dead_mean_height_s
-0.048428295019136994,0.03986257467762017,-0.12712889493649746,0.02933479944875495,overall_tpha_s
3.8031865813597414e-4,0.05518931811846323,-0.10702494316581233,0.10654184730912931,overall_bapha_s
-0.13056008120431215,0.052484859887814504,-0.23347579731970253,-0.026994163801562478,site_cwd_zscore:prop_host_s
0.2886106651428891,0.08620131910458007,0.12078927098299186,0.4581508063336313,site_cwd_zscore:pipo_and_dead_mean_height_s
-0.22341774255631167,0.057297501502625796,-0.33695948796307273,-0.11192349140773938,site_cwd_zscore:overall_tpha_s
0.22078088892164777,0.09933850936727226,0.02898001402455889,0.417174222504517,site_cwd_zscore:overall_bapha_s
0.07758037102370349,0.025022355535667506,0.02969763121753345,0.12696959832951274,prop_host_s:overall_tpha_s
-0.011537685785458163,0.029918092756369603,-0.06992464520337009,0.04805785398602294,prop_host_s:pipo_and_dead_mean_height_s
0.07421042675476072,0.05285043292811999,-0.02787234074112571,0.1775108278064061,site_cwd_zscore:prop_host_s:pipo_and_dead_mean_height_s
1.8542458575891299,0.2827521533159417,1.3860030822288039,2.5118768443611432,sdgp_gpxysiteeldo_3k_1
2.6494822378014167,0.358702192334761,2.0332925999154594,3.425276603423181,sdgp_gpxysiteeldo_3k_2
1.2867645394337481,0.12060965890709387,1.0680775002704015,1.545661989895089,sdgp_gpxysiteeldo_3k_3
1.8175979999943117,0.1755051712746801,1.5004986784472412,2.1890089867589833,sdgp_gpxysiteeldo_4k_1
1.6889937116562603,0.1995595402004729,1.3331464113014773,2.11501248925973,sdgp_gpxysiteeldo_4k_2
1.7253523538399251,0.16718542988455545,1.4218829605981333,2.0841378166493176,sdgp_gpxysiteeldo_5k_1
1.3300275943973543,0.1323820490728553,1.0907437973106358,1.6126932366298223,sdgp_gpxysiteeldo_5k_2
1.4978286363671234,0.17412636214547514,1.1866342226755617,1.8636675790312538,sdgp_gpxysiteeldo_5k_3
1.2833009998683123,0.13153770842931484,1.046626803531075,1.5595858641537337,sdgp_gpxysitesequ_4k_1
1.5981407045326541,0.1414181208694483,1.3405831861012731,1.8940680252647393,sdgp_gpxysitesequ_4k_3
1.1790510359584943,0.1301241586121779,0.9442143795137817,1.4467067415285442,sdgp_gpxysitesequ_5k_1
1.2642590864716465,0.11010998803692672,1.060474400041301,1.4881094089251956,sdgp_gpxysitesequ_5k_2
1.0329660187284684,0.10567386291464528,0.8413672870409318,1.2475617309268943,sdgp_gpxysitesequ_5k_3
1.5182805810694997,0.14298340225942488,1.260791794450695,1.8222608822438537,sdgp_gpxysitesequ_6k_1
1.5862997479833925,0.18508644115481812,1.2692534828541036,1.9997037553398933,sdgp_gpxysitesequ_6k_2
1.293710817266087,0.10832594569512331,1.0979177395110347,1.518764150283645,sdgp_gpxysitesequ_6k_3
1.350599151337574,0.12134113150361779,1.1366056546099237,1.60851992046932,sdgp_gpxysitesier_3k_1
1.8015203242063684,0.1887047584599341,1.4620185920029825,2.2071233682106906,sdgp_gpxysitesier_3k_2
1.359316394018572,0.12081462681599635,1.1433063949253484,1.6204561259536931,sdgp_gpxysitesier_3k_3
1.8086550982135807,0.16193158036966937,1.5107538066036403,2.148110983004274,sdgp_gpxysitesier_4k_1
1.1510937994940464,0.10762803777066503,0.9578583384375545,1.3821854953693349,sdgp_gpxysitesier_4k_2
1.2621703370907624,0.12643014298248403,1.0276305336881224,1.522318287269573,sdgp_gpxysitesier_4k_3
1.236315779479842,0.10424805171716874,1.044172198399672,1.4517075503078247,sdgp_gpxysitesier_5k_1
1.3692088475730952,0.12267245306951606,1.1454550896663536,1.6214454177458513,sdgp_gpxysitesier_5k_2
0.9953343137431658,0.08465602390379322,0.8397969340348059,1.1728714960382094,sdgp_gpxysitesier_5k_3
1.1011757978938268,0.12120226068405822,0.8864400684371952,1.3596056786934638,sdgp_gpxysitestan_3k_1
1.3774058469222301,0.13563433490925375,1.1287144714910584,1.6577558224202946,sdgp_gpxysitestan_3k_2
0.9911561727252346,0.09214649649341433,0.819464529366829,1.1813296389133081,sdgp_gpxysitestan_3k_3
1.2311255965482948,0.10734187565698797,1.03671818473194,1.4550413118936025,sdgp_gpxysitestan_4k_1
1.7104811626088041,0.16916439867372834,1.4082016305715868,2.076057481644001,sdgp_gpxysitestan_4k_2
1.2007362528944412,0.12283606801607341,0.9715984168129803,1.4559669498240884,sdgp_gpxysitestan_5k_1
1.3716321682972221,0.14127319042555808,1.114587604489182,1.66096533531663,sdgp_gpxysitestan_5k_2
70.64239712632515,9.191550756958593,54.949692693328835,91.14780571677002,lscale_gpxysiteeldo_3k_1
43.20909090486135,5.183552815811159,34.71719792647773,55.2146610480693,lscale_gpxysiteeldo_3k_2
16.633804272645136,2.4306340144561025,12.120210833964954,21.84593402951822,lscale_gpxysiteeldo_3k_3
18.062864889171763,2.724874217722844,13.3019830521502,24.01852639630069,lscale_gpxysiteeldo_4k_1
26.8835048291012,3.0448876972602648,21.407183297878632,33.49067869032174,lscale_gpxysiteeldo_4k_2
20.06077816674496,2.6433944465809827,15.20650920393381,25.598799832821978,lscale_gpxysiteeldo_5k_1
