forest,elev,rep,site,plot,live_count,dead_count,pipo_count,abco_count,cade_count,pipo_and_dead_count,total_count,live_tpha,dead_tpha,pipo_tpha,abco_tpha,cade_tpha,pipo_and_dead_tpha,overall_tpha,live_ba,dead_ba,pipo_ba,pipo_and_dead_ba,total_ba,live_bapha,dead_bapha,pipo_bapha,pipo_and_dead_bapha,overall_bapha,live_qmd,dead_qmd,pipo_qmd,pipo_and_dead_qmd,overall_qmd,live_sdi_ac,pipo_and_dead_sdi_ac,overall_sdi_ac,plot_cwd,plot_cwd_zscore,pipo_and_dead_tpha_s,overall_tpha_s,pipo_and_dead_bapha_s,overall_bapha_s,pipo_and_dead_qmd_s,overall_qmd_s,live_sdi_ac_s,pipo_and_dead_sdi_ac_s,overall_sdi_ac_s,x_3310,y_3310
eldorado,3000,1,eldo_3k_1,eldo_3k_1_1,8,9,0,0,2,9,17,197.68413041222084,222.39464671374844,0,0,49.42103260305521,222.39464671374844,420.0787771259693,2829.3025510366983,17012.19690321939,0,17012.19690321939,19841.49945425609,69913.52680934597,420380.1689018001,0,420380.1689018001,490293.69571114617,21.22021410118192,49.05847060169913,NaN,49.05847060169913,38.5494195668518,58.19442564650095,288.5696281191496,355.7499319218773,701.0053954195248,0.4649723158372025,-0.8627304315186493,0.19289712886816462,1.509019958482303,1.6323895979358598,1.323126285990863,1.3905686562793496,1.6374844663873944,1.399403943609779,1.6303946371506175,-66301.02969914245,97728.47050101869
eldorado,3000,1,eldo_3k_1,eldo_3k_1_2,7,6,1,0,1,7,13,172.97361411069323,148.26309780916563,24.710516301527605,0,24.710516301527605,172.97361411069323,321.23671191985886,1362.78976503272,9736.941589085425,428.877210308122,10165.818799393548,11099.731354118145,33675.238704396,240604.8538641175,10597.777296672532,251202.63116079004,274280.0925685135,15.744195392951287,45.45594767831084,23.368,43.00086793143997,32.9715692167568,30.022413009925735,177.74485709854682,206.2978947303978,686.0616523724683,0.3679267633716766,-1.27355444652753,-1.736074159813484,-0.488961706041624,-0.3675186932778022,0.7313622486367332,0.3569553544014504,-0.3507954156419275,-0.7372494042755403,-0.43755363698294913,-66301.89199066501,97825.62475753855
eldorado,3000,1,eldo_3k_1,eldo_3k_1_3,4,13,3,0,1,16,17,98.84206520611042,321.23671191985886,74.13154890458281,0,24.710516301527605,395.3682608244417,420.0787771259693,984.3806196427089,12738.676695259002,907.3104120719795,13645.987107330982,13723.057314901711,24324.553348589,314779.27813808736,22420.108728050378,337199.38686613773,339103.83148667635,17.701358224723887,35.32202071491119,19.62331518033247,32.953196366210065,32.059447765967896,21.10940435910182,253.654727664939,256.70565082982995,678.4523537947894,0.3185115277094543,0.5751536210124325,0.19289712886816462,0.5266574086594258,0.23263579256863795,-0.25018953267122795,0.18793309577317455,-0.9798436848372538,0.7262598598498123,0.2599318853804049,-66227.23336844491,97939.39842377696
eldorado,3000,1,eldo_3k_1,eldo_3k_1_4,8,10,6,0,0,16,18,197.68413041222084,247.10516301527605,148.26309780916563,0,0,395.3682608244417,444.7892934274969,1704.7666426756211,8215.805736834738,1220.7089878937818,9436.51472472852,9920.572379510359,42125.66391413642,203016.8015902388,30164.34934477056,233181.15093500938,245142.4655043752,16.471855936718242,32.34298804377851,16.094797068203956,27.403174670099812,26.490318000691833,37.1679489549204,183.00875223015876,193.90147856443585,678.4341720318534,0.31839345426404264,0.5751536210124325,0.6751399510385767,-0.701794848901357,-0.6372821762441255,-0.7923682500734225,-0.8440642229027264,0.1535109521361826,-0.6357637972916557,-0.6090812246798529,-66203.36695468021,97997.7833845485
eldorado,3000,1,eldo_3k_1,eldo_3k_1_5,5,13,5,0,0,18,18,123.55258150763802,321.23671191985886,123.55258150763802,0,0,444.7892934274969,444.7892934274969,1340.7986604398889,7605.273895270164,1340.7986604398889,8946.072555710052,8946.072555710052,33131.827155866245,187930.24456665572,33131.827155866245,221062.07172252197,221062.07172252197,18.47786717129442,27.292342504530744,18.47786717129442,25.1556193722198,25.1556193722198,28.4700404516888,176.94602176055423,176.94602176055423,678.225655222361,0.3170393337527472,0.985977636021313,0.6751399510385767,-0.8449208121987488,-0.8602245209825693,-1.0119307518829443,-1.0913928835512474,-0.46035631804439475,-0.7526506018923949,-0.8436916608682211,-66146.91076798817,97949.7553490689
eldorado,3000,2,eldo_3k_2,eldo_3k_2_1,2,4,2,0,0,6,6,49.42103260305521,98.84206520611042,49.42103260305521,0,0,148.26309780916563,148.26309780916563,6060.272120753982,13875.170900126779,6060.272120753982,19935.44302088076,19935.44302088076,149752.45303158453,342862.6367140642,149752.45303158453,492615.08974564873,492615.08974564873,62.11351751430601,66.45753584056513,62.11351751430601,65.0417742634173,65.0417742634173,97.3674412322786,316.91739992326137,316.91739992326137,709.6593632454599,0.5211716954733625,-0.5880906096898708,-0.7900637339396781,0.29100076362722355,3.1312115935029766e-5,1.171240477013632,1.3233001119737107,-0.08184165211726557,-0.010187054402709558,-0.35531748181860395,-45548.11563364177,58408.87148888176
eldorado,3000,2,eldo_3k_2,eldo_3k_2_2,3,4,3,0,0,7,7,74.13154890458281,98.84206520611042,74.13154890458281,0,0,172.97361411069323,172.97361411069323,4359.559137911141,4731.634439812434,4359.559137911141,9091.193577723574,9091.193577723574,107726.95714482688,116921.12995785457,107726.95714482688,224648.08710268143,224648.08710268143,43.01458315501848,38.80883945701031,43.01458315501848,40.66459880534911,40.66459880534911,76.21937763273864,161.0110018556003,161.0110018556003,707.8726851677475,0.5095689022117509,-0.5355825195389895,-0.7509516679030603,-1.531812484248344,-1.6752764828396138,-0.2915189111518225,-0.017078257239983286,-0.38222050061702884,-1.5747302986950489,-1.5715507413091245,-45620.7591236839,58292.99827865884
eldorado,3000,2,eldo_3k_2,eldo_3k_2_3,2,10,0,0,2,10,12,49.42103260305521,247.10516301527605,0,0,49.42103260305521,247.10516301527605,296.52619561833126,111.32363315772025,25592.528000516868,0,25592.528000516868,25703.85163367459,2750.864451889125,632404.5803540737,0,632404.5803540737,635155.4448059628,8.418481216941688,57.083639249788554,NaN,57.083639249788554,52.22320712735543,2.8322921579257416,419.24698412694335,429.77785296546784,704.3801593063713,0.48688823240565776,-0.37805824908634555,-0.5553913377199717,1.241901930120163,0.8911819596695287,0.6937103085370846,0.6184715257806304,-1.4245820447802278,1.0167051170631087,0.5251123040810665,-45658.78107643694,58045.87523693498
eldorado,3000,2,eldo_3k_2,eldo_3k_2_4,34,9,3,0,29,12,43,840.1575542519386,222.39464671374844,74.13154890458281,0,716.6049727443005,296.52619561833126,1062.552200965687,7371.428393666668,13714.139263269597,3801.420849685248,17515.560112954845,21085.567656936266,182151.80148724365,338883.46182644315,93935.07187511424,432818.5337015574,521035.2633136868,16.614658775770693,44.04717727366622,40.16681612143703,43.10984398796482,24.986963374881597,160.3958263305651,306.073610234743,417.7011175083381,705.2937828766431,0.4928213579849297,-0.2730420687845829,0.6570827094151778,-0.11575810391785916,0.1777119139919864,-0.14479127433474978,-0.8791126404917893,0.8133889513614748,-0.11900605163421214,0.43090111383436963,-45754.53457709667,58049.962585260626
eldorado,3000,2,eldo_3k_2,eldo_3k_2_5,43,20,31,0,11,51,63,1062.552200965687,494.2103260305521,766.0260053473557,0,271.81567931680365,1260.2363313779078,1556.762526996239,8085.227219471313,15774.918580759118,3111.4879461460946,18886.40652690521,23860.14580023043,199790.13900830058,389806.38274511887,76886.47361524972,466692.85636036855,589596.5217534194,15.472729967628945,31.690101097976953,11.30468001287734,21.714240221388287,21.959443561343022,178.83242759089788,386.4136923857325,486.91665201964844,703.9225877625684,0.4839167356982377,1.7747734470997887,1.4393240301475323,0.11466789441881718,0.6063512970621632,-1.4286406000641443,-1.0455807400225692,1.0752552461530471,0.6872182876688622,0.9708548052122935,-45896.045858382335,57967.37737472309
